"State","Both sexes","All ages","White Irish",3854226
"State","Both sexes","All ages","White Irish Traveller",30987
"State","Both sexes","All ages","Any other White background",446727
"State","Both sexes","All ages","Black or Black Irish - African",57850
"State","Both sexes","All ages","Black or Black Irish - any other Black background",6789
"State","Both sexes","All ages","Asian or Asian Irish - Chinese",19447
"State","Both sexes","All ages","Asian or Asian Irish - any other Asian background",79273
"State","Both sexes","All ages","Other including mixed background",70603
"State","Both sexes","All ages","Not stated",124019
